No errors
No warnings
102 ms
data source=metars
4909 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
OPLA 272225Z 33006KT 4000 FU NSC 11/06 Q1011 NOSIG RMK QFE986 A29.88,OPLA,2025-01-27T22:25:00Z,31.522,74.404,11,6,330,6,,2.49,29.85,,,,,,TRUE,,,,FU,CLR,,,,,,,,IFR,,,,,,,,,,,,METAR,217
KIKT 272225Z AUTO VRB04KT 10SM SCT028 BKN033 OVC050 22/12 A3011 RMK A01,KIKT,2025-01-27T22:25:00Z,28.5208,-88.2889,22,12,VRB,4,,10+,30.11,,,TRUE,TRUE,,,,,,,SCT,2800,BKN,3300,OVC,5000,,,VFR,,,,,,,,,,,,METAR,36
KGUL 272225Z AUTO 00000KT 9SM CLR 22/18 A3010 RMK A01,KGUL,2025-01-27T22:25:00Z,27.3039,-93.5383,22,18,0,0,,9,30.10,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,20
UUWW 272224Z 22004MPS 5000 -DZ BR BKN004 OVC023 04/04 Q1013 R24/290050 NOSIG,UUWW,2025-01-27T22:24:00Z,55.592,37.261,4,4,220,8,,3.11,29.91,,,,,,TRUE,,,,-DZ BR,BKN,400,OVC,2300,,,,,LIFR,,,,,,,,,,,,SPECI,195
CYZE 272224Z AUTO 27027G34KT 4SM -SN BKN015 OVC020 M01/M02 A2925 RMK SLP914,CYZE,2025-01-27T22:24:00Z,45.885,-82.57,-1,-2,270,27,34,4,29.25,991.4,,TRUE,,,,,,,-SN,BKN,1500,OVC,2000,,,,,MVFR,,,,,,,,,,,,SPECI,189
CYPH 272224Z AUTO 03019KT 3SM -SN SCT120 M25/M29 A2901 RMK SLP830,CYPH,2025-01-27T22:24:00Z,58.47,-78.08,-25,-29,30,19,,3,29.01,983,,TRUE,,,,,,,-SN,SCT,12000,,,,,,,MVFR,,,,,,,,,,,,SPECI,24
UWOO 272223Z 15002MPS 0200 0150E R26/0550N FZFG VV001 M03/M03 Q1025 R26/950140 NOSIG RMK QBB050 QFE758/1011,UWOO,2025-01-27T22:23:00Z,51.795,55.457,-3,-3,150,4,,0.12,30.27,,,,,,TRUE,,,,FZFG,OVX,0,,,,,,,LIFR,,,,,,,,,,,100,SPECI,90
USPP 272223Z 13005MPS 2300 -SN BKN020 M06/M08 Q1014 R21/491043 NOSIG RMK QFE750,USPP,2025-01-27T22:23:00Z,57.914,56.021,-6,-8,130,10,,1.43,29.94,,,,,,TRUE,,,,-SN,BKN,2000,,,,,,,IFR,,,,,,,,,,,,SPECI,120
URRP 272223Z 13002MPS 0100 0050NE R05/0400N FG VV000 00/00 Q1025 R05/CLRD70 NOSIG RMK QBB020 OBST OBSC QFE764/1019,URRP,2025-01-27T22:23:00Z,47.494,39.925,0,0,130,4,,0.06,30.27,,,,,,TRUE,,,,FG,OVX,0,,,,,,,LIFR,,,,,,,,,,,0,SPECI,73
UIII 272223Z 28003MPS 3500 -SHSN OVC004CB M17/M19 Q1027 R12/490337 NOSIG RMK QBB140 MT OBSC QFE727/0970,UIII,2025-01-27T22:23:00Z,52.273,104.38,-17,-19,280,6,,2.17,30.32,,,,,,TRUE,,,,-SHSN,OVC,400,,,,,,,LIFR,,,,,,,,,,,,SPECI,480
UATT 272223Z 24006MPS 6000 -FZDZ OVC004 M06/M07 Q1027 NOSIG RMK QBB120 OBST OBSC QFE750/1000,UATT,2025-01-27T22:23:00Z,50.248,57.203,-6,-7,240,12,,3.73,30.32,,,,,,TRUE,,,,-FZDZ,OVC,400,,,,,,,LIFR,,,,,,,,,,,,SPECI,217
PFNO 272223Z AUTO 21005KT 1SM -SN BR SCT017 BKN023 OVC046 M18/M20 A2955 RMK AO2 P0000 FZRANO $,PFNO,2025-01-27T22:23:00Z,66.819,-161.024,-18,-20,210,5,,1,29.55,,,TRUE,TRUE,TRUE,,,TRUE,,-SN BR,SCT,1700,BKN,2300,OVC,4600,,,IFR,,,,,,0.005,,,,,,SPECI,14
PAUN 272223Z AUTO 21019G26KT 2SM -SN FEW013 BKN021 M18/M21 A2970 RMK AO2 PK WND 21027/2215 VIS 1 1/4V3 P0000 FZRANO,PAUN,2025-01-27T22:23:00Z,63.885,-160.794,-18,-21,210,19,26,2,29.70,,,TRUE,TRUE,,,,TRUE,,-SN,FEW,1300,BKN,2100,,,,,IFR,,,,,,0.005,,,,,,SPECI,4
CYTL 272223Z AUTO 32013G21KT 3SM -SN BKN027 M20/M23 A2957 RMK SLP043,CYTL,2025-01-27T22:23:00Z,53.816,-89.892,-20,-23,320,13,21,3,29.57,1004.3,,TRUE,,,,,,,-SN,BKN,2700,,,,,,,MVFR,,,,,,,,,,,,SPECI,218
YPPD 272222Z AUTO 26006KT 9999 TS FEW083 BKN110 28/23 Q1007,YPPD,2025-01-27T22:22:00Z,-20.372,118.632,28,23,260,6,,6+,29.73,,,TRUE,,,,,,,TS,FEW,8300,BKN,11000,,,,,VFR,,,,,,,,,,,,SPECI,6
YBRM 272222Z AUTO 03009KT 9999 VCTS SCT018 26/24 Q1008 RETS,YBRM,2025-01-27T22:22:00Z,-17.948,122.235,26,24,30,9,,6+,29.76,,,TRUE,,,,,,,VCTS,SCT,1800,,,,,,,VFR,,,,,,,,,,,,SPECI,11
ULMM 272222Z 16002MPS CAVOK M12/M14 Q1002 R13/690145 NOSIG RMK QFE745,ULMM,2025-01-27T22:22:00Z,68.781,32.749,-12,-14,160,4,,6+,29.59,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,SPECI,79
PAMK 272222Z AUTO 27010KT 9SM FEW010 BKN038 OVC049 M18/M20 A2972 RMK AO2 PK WND 24028/2159 SNE17 P0000 FZRANO,PAMK,2025-01-27T22:22:00Z,63.484,-162.115,-18,-20,270,10,,9,29.72,,,TRUE,TRUE,,,,TRUE,,,FEW,1000,BKN,3800,OVC,4900,,,VFR,,,,,,0.005,,,,,,SPECI,31
LEVX 272222Z 33016G27KT 300V010 2500 TSRA FEW011 SCT017CB BKN023 07/05 Q1011 TEMPO 6000 NSW,LEVX,2025-01-27T22:22:00Z,42.239,-8.624,7,5,330,16,27,1.55,29.85,,,,,,,,,,TSRA,FEW,1100,SCT,1700,BKN,2300,,,IFR,,,,,,,,,,,,SPECI,253
KRND 272222Z AUTO 02006KT 10SM OVC020 11/06 A3013 RMK AO2 DZE2156DZB10E22 SLP204,KRND,2025-01-27T22:22:00Z,29.537,-98.268,11,6,20,6,,10+,30.13,1020.4,,TRUE,TRUE,,,,,,,OVC,2000,,,,,,,MVFR,,,,,,,,,,,,SPECI,224
