NOTAM,GUID,Date Issued,Effective Date,Expiration Date,Time Zone,City,Type,Purpose,Timestamp
5_8850,859f3f3c-bb7b-4e3e-af4f-7c41647bb059,2025-01-31T15:05:00,2025-02-05T20:00:00,2025-02-06T05:00:00,CST,New Orleans,99.7,,2025013117
5_8849,e81788a6-c44f-4080-9516-cae8375e7b1e,2025-01-31T15:05:00,2025-02-03T22:00:00,2025-02-04T05:00:00,CST,New Orleans,99.7,,2025013117
5_8852,aa5a7892-37f7-4698-b100-eafe97850404,2025-01-31T14:55:00,2025-01-31T15:00:00,2025-01-31T20:00:00,UTC,VERNON,91.137(a)(1),,2025013117
5_8851,c9848dd5-3af0-4ae1-a160-443e397759f4,2025-01-31T14:54:00,2025-02-06T18:00:00,2025-02-07T05:00:00,CST,New Orleans,99.7,,2025013117
5_8678,6ef7eabd-2b86-4631-888b-3a62409bb4c8,2025-01-30T22:34:00,2025-02-02T19:30:00,2025-02-03T06:00:00,MST,LIBBY AFB,99.7,,2025013117
5_8677,00d11231-1dc7-4e32-82df-d148acdda81e,2025-01-30T22:16:00,2025-02-02T13:00:00,2025-02-02T15:30:00,MST,Libby AFB,99.7,,2025013117
5_8676,3025742e-562d-4996-b630-1f1c881cd1b0,2025-01-30T21:54:00,2025-02-05T22:32:00,2025-02-06T00:13:00,EST,Cape Canaveral,91.143,,2025013117
5_8675,253262c9-db42-4233-b5ff-5728100861bb,2025-01-30T21:51:00,2025-02-05T22:32:00,2025-02-06T00:13:00,EST,Cape Canaveral,91.143,,2025013117
5_8674,46557a20-10ed-4aa1-b597-fcebac8c0fc1,2025-01-30T21:47:00,2025-02-04T22:57:00,2025-02-05T00:38:00,EST,Cape Canaveral,91.143,,2025013117
5_8673,977dbb57-065d-4e00-9374-95fcfa036e5d,2025-01-30T21:45:00,2025-02-04T22:57:00,2025-02-05T00:38:00,EST,Cape Canaveral,91.143,,2025013117
5_8672,1d1fd516-489d-4d45-b07e-46b38a6f6dda,2025-01-30T21:43:00,2025-02-03T23:22:00,2025-02-04T01:03:00,EST,Cape Canaveral,91.143,,2025013117
5_8662,e0f0ac3b-bd94-4e36-b6e1-ae78320c0168,2025-01-30T21:41:00,2025-01-31T21:00:00,2025-02-28T21:00:00,EST,Bedminster,99.7,,2025013117
5_8661,8871da82-8bd6-4648-9c6d-e7e9d1e20585,2025-01-30T21:37:00,2025-02-03T23:22:00,2025-02-04T01:03:00,EST,Cape Canaveral,91.143,,2025013117
5_8635,bf15ab10-465f-43e5-bfeb-b70e9c0eef92,2025-01-30T20:42:00,2025-01-31T13:00:00,2025-02-06T23:30:00,UTC,20NM WEST OF MORGANTON,91.137(a)(2),TO PROVIDE A SAFE ENVIRONMENT FOR FIRE FIGHTING ACFT OPS,2025013117
